date,window,season,week,snapshot_utc,cold_start,prob_hits,prob_graded,prob_expected,ev_hits,ev_graded,ev_expected,ev_flat_pnl
2026-09-09,,2026,1,2026-09-09T16:46:30+00:00,True,2,20,3.47,2,19,3.18,-2.65
2026-09-10,all,2026,1,2026-09-10T17:55:33+00:00,True,4,20,4.24,3,16,3.71,-0.6
2026-09-13,early,2026,1,2026-09-13T13:42:26+00:00,True,11,20,7.76,2,20,3.83,-5.0
2026-09-13,late,2026,1,2026-09-13T17:10:56+00:00,True,10,20,6.31,5,20,4.74,-4.26
2026-09-14,late,2026,1,2026-09-14T18:32:38+00:00,True,4,20,3.47,4,12,2.27,6.32
2026-09-17,late,2026,2,2026-09-17T17:36:21+00:00,True,8,20,3.94,0,0,0.0,0.0
